,Total prosecutions,Total convictions,Total acquittals,Total dismissals,Immigration prosecutions,Immigration convictions,Immigration acquittals,Immigration dismissals,Naturalization prosecutions,Naturalization convictions,Naturalization acquittals,Naturalization dismissals,Other prosecutions,Other convictions,Other acquittals,Other dismissals,Fines (dollars),Immigration fines,Naturalization fines,Other fines,Imprisonment (years),Immigration imprisonment,Naturalization violations,Other violations
1992,14655.0,9865.0,57.0,4733.0,14138.0,9766.0,57.0,4315.0,517.0,99.0,0.0,418.0,,,,,1673488.0,1670839.0,2649.0,,5592.0,5550.0,42.0,
1993,18731.0,11685.0,240.0,6806.0,15566.0,10189.0,145.0,5232.0,695.0,287.0,82.0,326.0,2470.0,1209.0,13.0,1248.0,2613297.0,2242129.0,9660.0,361508.0,6626.0,3872.0,95.0,2659.0
1994,14854.0,10210.0,86.0,4558.0,13068.0,9180.0,74.0,3814.0,506.0,160.0,10.0,336.0,1280.0,870.0,,408.0,101503303.0,316163.0,7080.0,101180060.0,7522.0,3720.0,36.0,3766.0
1995,17035.0,12075.0,124.0,4836.0,15337.0,11110.0,94.0,4133.0,328.0,113.0,5.0,210.0,1370.0,852.0,25.0,493.0,955054.0,609480.0,13695.0,331879.0,7161.0,5234.0,52.0,1875.0
1996,16115.0,12121.0,108.0,3886.0,14223.0,11014.0,107.0,3102.0,176.0,133.0,0.0,43.0,1716.0,974.0,,741.0,1131709.0,959214.0,3195.0,169300.0,6947.0,5436.0,64.0,1447.0
1997,19180.0,16184.0,24.0,2972.0,17807.0,15219.0,22.0,2566.0,212.0,164.0,,47.0,1161.0,801.0,,359.0,760209.0,310893.0,11579.0,437737.0,11353.0,8059.0,77.0,3217.0
1998,23826.0,21480.0,65.0,2281.0,22857.0,20768.0,60.0,2029.0,171.0,129.0,0.0,42.0,798.0,583.0,5.0,210.0,776622.0,437547.0,7870.0,331205.0,12030.0,10455.0,116.0,1459.0
1999,22491.0,20471.0,58.0,1962.0,21588.0,19753.0,52.0,1783.0,206.0,173.0,0.0,33.0,697.0,545.0,6.0,146.0,1275604.0,692477.0,10575.0,572552.0,14843.0,12922.0,180.0,1741.0
2000,22926.0,20751.0,96.0,2079.0,22071.0,20007.0,81.0,1983.0,211.0,181.0,,29.0,644.0,563.0,14.0,67.0,4795872.0,3677297.0,74545.0,1044030.0,19003.0,16109.0,101.0,2793.0
2001,24316.0,21055.0,92.0,3169.0,23374.0,20297.0,88.0,2989.0,196.0,168.0,0.0,28.0,746.0,590.0,4.0,152.0,12498608.0,468718.0,26025.0,12003865.0,17863.0,14786.0,121.0,2956.0
2002,23850.0,21042.0,114.0,2694.0,23219.0,20483.0,108.0,2628.0,171.0,146.0,3.0,22.0,460.0,413.0,3.0,44.0,2171518.0,707224.0,7550.0,1456744.0,16803.0,15612.0,104.0,1087.0
2003,24918.0,22479.0,57.0,2382.0,24153.0,21821.0,46.0,2286.0,155.0,137.0,,17.0,610.0,521.0,10.0,79.0,1066176.0,941950.0,1650.0,122576.0,19646.0,17776.0,118.0,1752.0
2004,19541.0,17100.0,11.0,2430.0,19370.0,16945.0,10.0,2415.0,95.0,86.0,,8.0,76.0,69.0,0.0,7.0,87896.0,83004.0,0.0,4892.0,10568.0,10486.0,57.0,25.0
