,Aliens Apprehended,LPR
1980,910361.0,524295
1981,975780.0,595014
1982,970246.0,533624
1983,1251357.0,550052
1984,1246981.0,541811
1985,1348749.0,568149
1986,1767400.0,600027
1987,1190488.0,599889
1988,1008145.0,641346
1989,954243.0,1090172
1990,1169939.0,1535872
1991,1197875.0,1826595
1992,1258481.0,973445
1993,1327261.0,903916
1994,1094719.0,803993
1995,1394554.0,720177
1996,1649986.0,915560
1997,1536520.0,797847
1998,1679439.0,653206
1999,1714035.0,644787
2000,1814729.0,841002
2001,1387486.0,1058902
2002,1062270.0,1059356
2003,1046422.0,703542
2004,1264232.0,957883
2005,1291065.0,1122257
2006,1206412.0,1266129
2007,960772.0,1052415
2008,1043799.0,1107126
2009,889203.0,1130818
2010,796587.0,1042625
2011,678606.0,1062040
2012,671327.0,1031631
2013,662483.0,990553
