,Petitions filed,Total naturalized,Civilians naturalized,Military naturalized,Unreported naturalized,Petitions denied
1907,21113,7941,7941,,0,250
1908,44032,25975,25975,,0,3330
1909,43141,38374,38374,,0,6341
1910,55750,39448,39448,,0,7781
1911,74740,56683,56683,,0,9017
1912,95661,70310,70310,,0,9635
1913,95380,83561,83561,,0,10891
1914,124475,104145,104145,,0,13133
1915,106399,91848,91848,,0,13691
1916,108767,87831,87831,,0,11927
1917,130865,88104,88104,,0,9544
1918,169507,151449,87456,63993.0,0,12182
1919,256858,217358,89023,128335.0,0,13119
1920,218732,177683,125711,51972.0,0,15586
1921,195534,181292,163656,17636.0,0,18981
1922,162638,170447,160979,9468.0,0,29076
1923,165168,145084,137975,7109.0,0,24884
1924,177117,150510,140340,10170.0,0,18324
1925,162258,152457,152457,,0,15613
1926,172232,146331,146239,92.0,0,13274
1927,240339,199804,195493,4311.0,0,11946
1928,240321,233155,228006,5149.0,0,12479
1929,255519,224728,224197,531.0,0,11848
1930,113151,169377,167637,1740.0,0,9068
1931,145474,143495,140271,3224.0,0,7514
1932,131062,136600,136598,2.0,0,5478
1933,112629,113363,112368,995.0,0,4703
1934,117125,113669,110867,2802.0,0,1133
1935,131378,118945,118945,,0,2765
1936,167127,141265,140784,481.0,0,3124
1937,165464,164976,162923,2053.0,0,4042
1938,175413,162078,158142,3936.0,0,4854
1939,213413,188813,185175,3638.0,0,5630
1940,278028,235260,232500,2760.0,0,6549
1941,277807,277294,275747,1547.0,0,7769
1942,343487,270364,268762,1602.0,0,8348
1943,377125,318933,281459,37474.0,0,13656
1944,325717,441979,392766,49213.0,0,7297
1945,195917,231402,208707,22695.0,0,9782
1946,123864,150062,134849,15213.0,0,6575
1947,88802,93904,77442,16462.0,0,3953
1948,68265,70150,69080,1070.0,0,2887
1949,71044,66594,64138,2456.0,0,2271
1950,66038,66346,64279,2067.0,0,2276
1951,61634,54716,53741,975.0,0,2395
1952,94086,88655,87070,1585.0,0,2163
1953,98128,92051,90476,1575.0,0,2300
1954,130722,117831,104086,13745.0,0,2084
1955,213508,209526,197568,11958.0,0,4571
1956,137701,145885,138681,7204.0,0,3935
1957,140547,138043,137198,845.0,0,2948
1958,117344,119866,118950,916.0,0,2688
1959,109270,103931,102623,1308.0,0,2208
1960,127543,119442,117848,1594.0,0,2277
1961,138718,132450,130731,1719.0,0,3175
1962,129682,127307,124972,2335.0,0,3557
1963,121170,124178,121618,2560.0,0,2436
1964,113218,112234,109629,2605.0,0,2309
1965,106813,104299,101214,3085.0,0,2059
1966,104853,103059,100498,2561.0,0,2029
1967,108369,104902,102211,2691.0,0,2008
1968,103085,102726,100288,2438.0,0,1962
1969,102317,98709,93251,5458.0,0,2043
1970,114760,110399,99783,10616.0,0,1979
1971,109897,108407,98858,9549.0,0,2028
1972,121883,116215,107740,8475.0,0,1837
1973,126929,120404,112628,7776.0,0,1708
1974,136175,131153,124342,6811.0,0,2210
1975,149399,140749,134586,6163.0,0,2300
1976,199152,189988,182887,7101.0,0,2799
1977,186354,159873,154568,5305.0,0,2845
1978,168854,171971,166911,5060.0,0,3894
1979,165434,163107,157305,5802.0,0,3987
1980,192230,156627,152073,4554.0,0,4370
1981,171073,164389,160342,4047.0,0,4316
1982,201507,141004,138188,2816.0,0,3994
1983,187719,178415,175159,3182.0,74,3160
1984,286440,195862,190984,2944.0,1934,3373
1985,305981,242451,236202,3237.0,3012,3610
1986,290732,279497,274263,2886.0,2348,5980
1987,232988,223249,220393,2362.0,494,6771
1988,237752,240775,238275,2278.0,222,4304
1989,227692,232655,230088,1947.0,620,5200
1990,233843,267586,245410,1618.0,20558,6516
1991,206668,307394,298741,1802.0,6851,6268
1992,342238,239664,221997,5699.0,11968,19293
1993,521866,313590,302383,7062.0,4145,39931
1994,543353,429123,398364,5890.0,24869,40561
1995,959963,485720,472518,3855.0,9347,46067
1996,1277403,1040991,924368,1214.0,115409,229842
1997,1412712,596010,532871,531.0,62608,130676
1998,932957,461169,437689,961.0,22519,137395
1999,765346,837418,740718,711.0,95989,379993
2000,460916,886026,812579,836.0,72611,399670
2001,501643,606259,575030,758.0,30471,218326
2002,700649,572646,550835,1053.0,20758,139779
2003,523370,462435,449123,3865.0,9447,91599
2004,662796,537151,520771,4668.0,11712,103339
2005,602972,604280,589269,4614.0,10397,108247
2006,730642,702589,684484,6259.0,11846,120722
2007,1382993,660477,648005,3808.0,8664,89683
2008,525786,1046539,1032281,4342.0,9916,121283
2009,570442,743715,726043,7100.0,10572,109813
2010,710544,619913,604410,9122.0,6381,56994
2011,756008,694193,677385,8373.0,8435,57065
2012,899162,757434,745932,7257.0,4245,65874
2013,772623,779929,769073,6652.0,4204,83112
