,Type,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Cases completed,Criminal,38716.0,45291.0,46236.0,45619.0,54065,74612,87093,100044,90519,89222
Defendants prosecuted,Criminal,2027.0,2041.0,2386.0,1965.0,1468,1436,2195,2754,3802,2962
Defendants convicted,Criminal,1688.0,1954.0,2172.0,1590.0,1254,1166,1704,2409,3022,2253
Cases completed,Employer,7053.0,6237.0,6169.0,5283.0,5149,7537,7788,3898,1966,1595
Warnings,Employer,840.0,758.0,683.0,550.0,668,733,642,383,282,169
Notice of Intent to Fine,Employer,1461.0,1302.0,1063.0,1055.0,1019,862,1023,417,178,100
Final orders,Employer,1063.0,944.0,836.0,909.0,808,777,535,297,180,78
Arrests,Employer,8027.0,7630.0,7554.0,10014.0,14164,17552,13914,2849,953,418
Cases completed,Fraud,3428.0,4416.0,5800.0,6455.0,4369,4843,4613,4300,3733,3721
Defendants prosecuted,Fraud,532.0,525.0,308.0,389.0,613,332,447,509,483,397
Defendants convicted,Fraud,494.0,421.0,225.0,257.0,339,190,310,338,259,214
Cases completed,Smuggling,7073.0,6955.0,4750.0,5358.0,2643,1171,2033,2043,3309,2885
Smugglers arrested,Smuggling,13454.0,11244.0,8787.0,8580.0,4699,3381,2812,4253,4139,3139
Smuggled aliens arrested,Smuggling,38498.0,48017.0,53078.0,68203.0,43243,35084,45128,41364,46001,32429
Defendants prosecuted,Smuggling,3030.0,2491.0,2029.0,2636.0,3360,2287,1830,1951,2618,2124
Defendants convicted,Smuggling,,,,,2838,1737,1183,1199,1474,1174
Cases completed,Inspection,24048.0,23841.0,19364.0,23624.0,33138,33910,25407,27085,38311,25301
Aliens arrested,Inspection,6507.0,7375.0,8458.0,8793.0,15365,13702,11337,13879,14963,11162
