,Total,Africa,Asia,Europe,North America,Oceania,South America,Unknown,Afghanistan,Albania,Algeria,Angola,Antigua-Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bolivia,Bosnia-Herzegovina,Brazil,British Virgin Islands,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,"Czechoslovakia, former",Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Macau,Macedonia,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mexico,"Micronesia, Federated States",Moldova,Mongolia,Montenegro,Montserrat,Morocco,Nepal,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saint Kitts-Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,"Soviet Union, former",Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,Other
2004,1264232.0,2092.0,7229.0,2826.0,1214322.0,284.0,14093.0,23386.0,57.0,163.0,49.0,10.0,14.0,325.0,55.0,54.0,12.0,7.0,68.0,11.0,138.0,31.0,25.0,9.0,151.0,9.0,4.0,221.0,43.0,10082.0,,82.0,8.0,9.0,,102.0,34.0,1806.0,42.0,3.0,,,116.0,1560.0,919.0,3.0,21.0,571.0,27.0,12.0,1831.0,150.0,42.0,6.0,20.0,3635.0,1173.0,218.0,19180.0,,26.0,18.0,79.0,23.0,109.0,,64.0,42.0,104.0,135.0,28.0,21.0,0.0,14288.0,36.0,,135.0,367.0,26555.0,15.0,76.0,,895.0,170.0,138.0,135.0,41.0,290.0,81.0,976.0,101.0,258.0,14.0,138.0,503.0,,24.0,,148.0,25.0,157.0,59.0,7.0,64.0,0.0,35.0,11.0,67.0,38.0,10.0,16.0,20.0,1142807.0,55.0,10.0,70.0,,,244.0,60.0,55.0,6.0,42.0,1664.0,19.0,279.0,12.0,641.0,8.0,97.0,35.0,714.0,488.0,440.0,86.0,153.0,175.0,6.0,11.0,22.0,8.0,30.0,72.0,69.0,,150.0,31.0,18.0,56.0,0.0,50.0,83.0,,20.0,41.0,26.0,50.0,10.0,18.0,11.0,106.0,37.0,8.0,44.0,123.0,16.0,52.0,181.0,79.0,232.0,4.0,0.0,17.0,137.0,9.0,326.0,114.0,73.0,249.0,271.0,88.0,24.0,26.0,24.0
2005,1291065.0,2804.0,9273.0,2926.0,1237532.0,175.0,38128.0,227.0,55.0,253.0,39.0,10.0,30.0,296.0,82.0,33.0,12.0,16.0,122.0,6.0,151.0,67.0,28.0,15.0,149.0,9.0,4.0,329.0,67.0,32103.0,,75.0,13.0,9.0,,104.0,45.0,1486.0,84.0,,3.0,0.0,156.0,2890.0,1545.0,10.0,18.0,1321.0,22.0,13.0,4285.0,50.0,12.0,8.0,44.0,4586.0,2048.0,291.0,42885.0,,88.0,23.0,206.0,29.0,115.0,,79.0,45.0,159.0,165.0,29.0,23.0,0.0,25909.0,67.0,,293.0,999.0,55756.0,31.0,50.0,3.0,770.0,153.0,166.0,164.0,53.0,322.0,104.0,1557.0,41.0,309.0,14.0,146.0,604.0,,16.0,12.0,237.0,14.0,125.0,85.0,5.0,62.0,,44.0,7.0,51.0,44.0,3.0,5.0,33.0,1093340.0,22.0,20.0,41.0,,4.0,278.0,33.0,53.0,10.0,25.0,4272.0,19.0,375.0,5.0,792.0,5.0,131.0,18.0,903.0,600.0,348.0,145.0,232.0,195.0,5.0,20.0,44.0,28.0,20.0,40.0,66.0,,122.0,63.0,13.0,32.0,4.0,92.0,138.0,,42.0,43.0,46.0,81.0,8.0,23.0,10.0,113.0,51.0,8.0,37.0,134.0,12.0,33.0,448.0,85.0,392.0,0.0,5.0,17.0,154.0,6.0,297.0,128.0,130.0,301.0,421.0,67.0,22.0,32.0,36.0
2006,1206412.0,3544.0,10342.0,3025.0,1179600.0,221.0,9002.0,678.0,53.0,350.0,50.0,11.0,29.0,293.0,78.0,28.0,9.0,13.0,101.0,5.0,190.0,34.0,22.0,16.0,140.0,8.0,8.0,310.0,66.0,2957.0,4.0,69.0,13.0,26.0,8.0,124.0,79.0,1200.0,57.0,,5.0,4.0,190.0,2987.0,1647.0,13.0,44.0,804.0,62.0,15.0,5088.0,44.0,33.0,6.0,35.0,3713.0,1931.0,354.0,46314.0,,83.0,13.0,346.0,54.0,75.0,4.0,71.0,50.0,130.0,251.0,36.0,28.0,0.0,25144.0,64.0,0.0,243.0,1215.0,33394.0,22.0,47.0,,769.0,488.0,215.0,170.0,52.0,267.0,90.0,1350.0,33.0,338.0,40.0,176.0,519.0,,80.0,14.0,199.0,22.0,262.0,137.0,10.0,47.0,,48.0,5.0,104.0,120.0,,4.0,46.0,1057222.0,23.0,28.0,44.0,,,287.0,48.0,29.0,4.0,33.0,3228.0,112.0,363.0,7.0,721.0,8.0,132.0,26.0,1020.0,773.0,337.0,106.0,309.0,183.0,4.0,24.0,45.0,14.0,21.0,130.0,98.0,,176.0,75.0,11.0,15.0,3.0,122.0,108.0,,82.0,32.0,67.0,74.0,20.0,10.0,8.0,151.0,44.0,13.0,49.0,339.0,29.0,43.0,320.0,86.0,250.0,6.0,,36.0,193.0,35.0,305.0,110.0,147.0,255.0,442.0,64.0,22.0,41.0,45.0
2007,960772.0,3085.0,7348.0,2466.0,938932.0,202.0,8671.0,68.0,28.0,259.0,49.0,13.0,23.0,227.0,60.0,27.0,7.0,15.0,62.0,,182.0,28.0,17.0,8.0,113.0,10.0,3.0,189.0,60.0,2902.0,0.0,71.0,12.0,18.0,3.0,79.0,79.0,767.0,48.0,0.0,6.0,6.0,135.0,1623.0,1893.0,,77.0,377.0,72.0,13.0,4931.0,42.0,42.0,12.0,34.0,2118.0,1771.0,269.0,19699.0,7.0,100.0,13.0,144.0,45.0,69.0,10.0,87.0,59.0,84.0,239.0,16.0,15.0,,23907.0,86.0,,156.0,1004.0,28265.0,21.0,44.0,3.0,795.0,536.0,128.0,138.0,27.0,226.0,60.0,804.0,19.0,318.0,35.0,160.0,307.0,,57.0,,117.0,16.0,195.0,99.0,8.0,55.0,21.0,40.0,7.0,58.0,80.0,0.0,3.0,62.0,854275.0,13.0,46.0,54.0,0.0,,183.0,44.0,25.0,,55.0,2119.0,115.0,351.0,7.0,654.0,3.0,112.0,21.0,944.0,500.0,309.0,70.0,196.0,194.0,8.0,9.0,37.0,9.0,25.0,67.0,92.0,,222.0,98.0,14.0,23.0,,98.0,83.0,,7.0,28.0,47.0,38.0,10.0,19.0,12.0,101.0,34.0,15.0,45.0,117.0,43.0,27.0,210.0,60.0,221.0,9.0,3.0,49.0,177.0,8.0,169.0,109.0,96.0,314.0,212.0,106.0,25.0,44.0,35.0
2008,1043799.0,5218.0,13201.0,5150.0,1003176.0,506.0,15526.0,1022.0,74.0,362.0,59.0,31.0,69.0,440.0,235.0,52.0,12.0,30.0,269.0,4.0,278.0,90.0,52.0,16.0,348.0,17.0,14.0,328.0,108.0,3889.0,8.0,121.0,31.0,53.0,12.0,344.0,153.0,1378.0,127.0,6.0,9.0,14.0,255.0,2296.0,3619.0,26.0,59.0,629.0,118.0,23.0,6676.0,96.0,29.0,17.0,72.0,5470.0,3676.0,321.0,27153.0,4.0,217.0,34.0,218.0,128.0,124.0,7.0,126.0,105.0,201.0,414.0,61.0,56.0,24.0,33690.0,163.0,7.0,508.0,2299.0,33777.0,60.0,80.0,8.0,1218.0,632.0,239.0,222.0,94.0,298.0,201.0,3068.0,68.0,437.0,78.0,325.0,545.0,,27.0,20.0,712.0,29.0,236.0,271.0,21.0,100.0,,93.0,16.0,91.0,127.0,,15.0,128.0,884043.0,83.0,82.0,80.0,,10.0,227.0,102.0,59.0,15.0,45.0,2801.0,87.0,680.0,13.0,654.0,20.0,326.0,26.0,1807.0,1340.0,602.0,234.0,287.0,470.0,19.0,41.0,79.0,69.0,33.0,87.0,158.0,4.0,302.0,158.0,21.0,45.0,4.0,201.0,124.0,,110.0,91.0,107.0,164.0,28.0,30.0,22.0,101.0,52.0,43.0,64.0,381.0,53.0,99.0,691.0,53.0,310.0,11.0,17.0,59.0,403.0,4.0,510.0,200.0,157.0,750.0,1342.0,90.0,45.0,72.0,83.0
2009,889203.0,5652.0,13351.0,5100.0,848794.0,492.0,15214.0,600.0,76.0,331.0,53.0,24.0,59.0,507.0,181.0,65.0,12.0,40.0,288.0,4.0,223.0,105.0,72.0,26.0,345.0,11.0,20.0,351.0,175.0,3392.0,8.0,102.0,24.0,36.0,13.0,330.0,149.0,1306.0,116.0,9.0,12.0,9.0,284.0,2928.0,3468.0,35.0,77.0,582.0,116.0,25.0,4742.0,66.0,24.0,21.0,57.0,5106.0,3483.0,313.0,27741.0,7.0,212.0,32.0,262.0,101.0,136.0,17.0,131.0,157.0,228.0,422.0,58.0,63.0,15.0,34992.0,185.0,13.0,492.0,2220.0,32901.0,58.0,95.0,6.0,1155.0,371.0,291.0,291.0,94.0,345.0,205.0,3075.0,68.0,359.0,101.0,537.0,580.0,26.0,29.0,59.0,657.0,30.0,216.0,338.0,14.0,94.0,,62.0,10.0,60.0,140.0,,20.0,141.0,731218.0,88.0,98.0,142.0,4.0,9.0,232.0,148.0,92.0,4.0,38.0,2739.0,54.0,624.0,8.0,578.0,19.0,268.0,47.0,2079.0,1080.0,571.0,220.0,255.0,565.0,23.0,45.0,71.0,63.0,57.0,70.0,157.0,6.0,219.0,192.0,21.0,40.0,11.0,237.0,149.0,,62.0,92.0,135.0,202.0,28.0,44.0,19.0,91.0,61.0,90.0,81.0,304.0,44.0,76.0,729.0,47.0,317.0,20.0,11.0,65.0,374.0,7.0,486.0,221.0,198.0,862.0,1374.0,82.0,63.0,80.0,80.0
2010,796587.0,5762.0,14877.0,5571.0,754307.0,544.0,14589.0,937.0,92.0,321.0,62.0,22.0,57.0,431.0,239.0,76.0,22.0,30.0,279.0,5.0,325.0,82.0,66.0,24.0,338.0,12.0,18.0,307.0,202.0,3532.0,10.0,103.0,29.0,54.0,17.0,384.0,152.0,1486.0,118.0,10.0,12.0,5.0,285.0,2714.0,3006.0,24.0,72.0,548.0,119.0,34.0,4030.0,107.0,19.0,14.0,64.0,5274.0,3890.0,275.0,29911.0,14.0,231.0,22.0,274.0,99.0,151.0,28.0,130.0,121.0,227.0,414.0,53.0,76.0,21.0,39050.0,154.0,5.0,428.0,1768.0,32501.0,53.0,69.0,10.0,2175.0,486.0,297.0,280.0,72.0,311.0,174.0,3064.0,72.0,368.0,118.0,716.0,594.0,24.0,27.0,56.0,703.0,44.0,220.0,309.0,16.0,81.0,5.0,57.0,14.0,73.0,163.0,0.0,19.0,81.0,632034.0,110.0,129.0,124.0,,9.0,226.0,230.0,76.0,9.0,55.0,2587.0,68.0,599.0,12.0,612.0,20.0,283.0,32.0,1729.0,1079.0,635.0,205.0,630.0,564.0,12.0,30.0,82.0,57.0,26.0,148.0,170.0,,174.0,147.0,21.0,51.0,9.0,277.0,144.0,,91.0,99.0,284.0,252.0,18.0,37.0,22.0,99.0,55.0,80.0,82.0,300.0,40.0,100.0,624.0,61.0,326.0,29.0,19.0,54.0,392.0,15.0,533.0,190.0,210.0,741.0,1313.0,130.0,49.0,74.0,95.0
2011,678606.0,5209.0,15875.0,5520.0,637356.0,514.0,13357.0,775.0,111.0,258.0,36.0,28.0,47.0,421.0,232.0,75.0,23.0,37.0,311.0,3.0,272.0,77.0,58.0,35.0,361.0,18.0,23.0,387.0,201.0,3228.0,12.0,95.0,20.0,35.0,17.0,347.0,164.0,1131.0,105.0,6.0,10.0,8.0,248.0,2563.0,2755.0,26.0,63.0,503.0,102.0,31.0,4801.0,71.0,21.0,9.0,65.0,4433.0,3298.0,237.0,27652.0,4.0,63.0,35.0,219.0,87.0,145.0,13.0,148.0,101.0,198.0,435.0,48.0,61.0,16.0,41708.0,147.0,6.0,411.0,1351.0,31189.0,56.0,106.0,7.0,3859.0,327.0,305.0,285.0,88.0,254.0,149.0,2862.0,63.0,305.0,117.0,539.0,714.0,36.0,23.0,44.0,758.0,38.0,171.0,309.0,24.0,77.0,,51.0,21.0,53.0,112.0,,21.0,70.0,517472.0,106.0,144.0,129.0,11.0,9.0,173.0,180.0,72.0,11.0,63.0,2278.0,48.0,633.0,7.0,538.0,20.0,226.0,35.0,1741.0,1135.0,519.0,194.0,869.0,526.0,19.0,46.0,58.0,50.0,36.0,127.0,158.0,22.0,142.0,171.0,12.0,29.0,5.0,336.0,123.0,,92.0,126.0,316.0,226.0,19.0,42.0,19.0,114.0,58.0,82.0,64.0,257.0,43.0,82.0,596.0,43.0,224.0,8.0,11.0,66.0,393.0,3.0,518.0,239.0,135.0,575.0,1413.0,86.0,49.0,88.0,68.0
2012,671327.0,4755.0,12424.0,5548.0,634713.0,466.0,12507.0,914.0,98.0,277.0,42.0,22.0,56.0,324.0,217.0,55.0,12.0,29.0,275.0,,262.0,80.0,51.0,17.0,316.0,11.0,21.0,290.0,198.0,2433.0,12.0,110.0,29.0,54.0,27.0,268.0,130.0,1172.0,110.0,6.0,9.0,7.0,193.0,2350.0,2201.0,28.0,75.0,518.0,112.0,31.0,4121.0,68.0,20.0,8.0,41.0,4506.0,4374.0,190.0,38976.0,7.0,37.0,30.0,220.0,79.0,131.0,13.0,119.0,58.0,186.0,340.0,34.0,35.0,8.0,57486.0,142.0,3.0,360.0,1492.0,50771.0,85.0,111.0,3.0,1566.0,219.0,301.0,244.0,89.0,192.0,153.0,2655.0,59.0,281.0,108.0,494.0,627.0,26.0,22.0,40.0,754.0,35.0,128.0,314.0,23.0,84.0,0.0,43.0,14.0,49.0,100.0,,28.0,55.0,468766.0,106.0,93.0,95.0,18.0,4.0,149.0,248.0,64.0,,35.0,2532.0,50.0,543.0,8.0,470.0,26.0,197.0,33.0,1588.0,927.0,494.0,215.0,1220.0,414.0,13.0,49.0,57.0,41.0,32.0,198.0,164.0,13.0,86.0,162.0,7.0,44.0,7.0,316.0,95.0,3.0,115.0,139.0,223.0,253.0,20.0,33.0,14.0,57.0,46.0,51.0,73.0,276.0,46.0,86.0,498.0,33.0,265.0,10.0,19.0,44.0,394.0,10.0,448.0,144.0,129.0,547.0,1313.0,69.0,50.0,63.0,73.0
2013,662483.0,3772.0,10771.0,4447.0,629886.0,451.0,12459.0,697.0,70.0,423.0,27.0,16.0,40.0,235.0,141.0,69.0,14.0,36.0,288.0,,366.0,45.0,42.0,25.0,293.0,9.0,18.0,226.0,179.0,1702.0,8.0,52.0,19.0,48.0,21.0,204.0,102.0,822.0,66.0,5.0,14.0,12.0,128.0,1918.0,1987.0,28.0,39.0,409.0,80.0,29.0,2809.0,56.0,15.0,7.0,41.0,3893.0,5680.0,192.0,51226.0,0.0,40.0,18.0,144.0,67.0,106.0,10.0,100.0,65.0,153.0,272.0,29.0,44.0,22.0,73208.0,112.0,,292.0,1992.0,64157.0,74.0,88.0,,1791.0,126.0,257.0,169.0,70.0,213.0,138.0,2147.0,47.0,198.0,71.0,341.0,470.0,30.0,26.0,89.0,561.0,36.0,103.0,231.0,16.0,65.0,0.0,30.0,10.0,31.0,83.0,8.0,35.0,57.0,424978.0,113.0,93.0,66.0,6.0,,135.0,448.0,57.0,5.0,30.0,2712.0,39.0,492.0,,334.0,21.0,184.0,30.0,1682.0,721.0,328.0,131.0,865.0,320.0,21.0,32.0,45.0,43.0,37.0,264.0,132.0,35.0,64.0,145.0,16.0,23.0,0.0,214.0,79.0,42.0,89.0,98.0,134.0,168.0,15.0,27.0,11.0,72.0,55.0,33.0,72.0,246.0,20.0,49.0,419.0,24.0,216.0,4.0,13.0,49.0,290.0,11.0,388.0,116.0,116.0,366.0,875.0,68.0,31.0,48.0,55.0
